nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class
0.4,0.35,0.39,0.59,0.31,0.57,0.23,0.85,0,0,0.52,0.57,0.59,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.33,0.43,0.31,0.35,0.37,0.45,0.35,0
0.4,0.35,0.4,0.57,0.31,0.57,0.23,0.85,0,0,0.52,0.57,0.59,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.33,0.43,0.33,0.35,0.37,0.45,0.35,0
0.4,0.35,0.42,0.57,0.31,0.57,0.24,0.83,0,0,0.52,0.57,0.59,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.33,0.43,0.33,0.35,0.37,0.45,0.35,0
0.4,0.35,0.42,0.57,0.31,0.54,0.24,0.83,0,0,0.52,0.57,0.59,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.33,0.43,0.33,0.35,0.37,0.45,0.35,0
0.42,0.35,0.42,0.57,0.31,0.54,0.24,0.85,0,0,0.52,0.57,0.57,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.33,0.43,0.33,0.35,0.37,0.46,0.35,0
0.42,0.37,0.4,0.57,0.31,0.54,0.24,0.83,0,0,0.52,0.57,0.57,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.33,0.43,0.33,0.35,0.37,0.46,0.35,0
0.42,0.35,0.42,0.57,0.32,0.54,0.24,0.83,0,0,0.52,0.54,0.57,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.33,0.43,0.31,0.37,0.37,0.46,0.35,0
0.42,0.35,0.42,0.57,0.31,0.54,0.23,0.83,0,0,0.52,0.57,0.59,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.31,0.43,0.31,0.35,0.35,0.46,0.35,0
0.4,0.35,0.4,0.52,0.31,0.52,0.24,0.76,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.33,0.42,0.31,0.35,0.37,0.45,0.35,0
0.39,0.35,0.4,0.5,0.32,0.5,0.27,0.74,0,0,0.5,0.52,0.54,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.33,0.42,0.31,0.34,0.35,0.45,0.35,0
0.39,0.37,0.4,0.52,0.31,0.52,0.27,0.78,0,0,0.5,0.5,0.54,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.33,0.42,0.33,0.34,0.37,0.44,0.35,0
0.4,0.37,0.4,0.52,0.32,0.52,0.27,0.78,0,0,0.5,0.52,0.54,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.35,0.42,0.33,0.34,0.37,0.45,0.35,0
